epoch,accuracy,loss,val_accuracy,val_loss
0,0.8897333145141602,0.3351898491382599,0.9990000128746033,0.006389710586518049
1,0.9980000257492065,0.007284877821803093,0.9994000196456909,0.002603548113256693
2,0.9976666569709778,0.0064806449227035046,0.9991999864578247,0.0016493890434503555
3,0.9995999932289124,0.001226341351866722,0.9995999932289124,0.0029258052818477154
4,0.9997333288192749,0.0008702945779077709,0.9968000054359436,0.013427913188934326
5,0.9962666630744934,0.01428434532135725,0.9990000128746033,0.0051049436442554
6,0.9997333288192749,0.0019142200471833348,0.9998000264167786,0.0008049739990383387
7,1.0,0.00014245405327528715,0.9998000264167786,0.0006877073319628835
8,1.0,8.45255926833488e-05,0.9998000264167786,0.0006285855197347701
9,1.0,6.370319897541776e-05,0.9998000264167786,0.0005790041177533567
